Energy     Target
1.8918E-04 1.0000E-06
1.9564E-04 1.0000E-06
1.6447E-04 1.0000E-06
1.5749E-04 1.0000E-06
1.4308E-04 1.0000E-06
2.2166E-04 1.0000E-06
2.1698E-04 1.0000E-06
2.7687E-04 1.0000E-06
7.7814E-06 1.0000E-06
2.3941E-05 1.0000E-06
1.9011E-05 1.0000E-06
3.4606E-05 1.0000E-06
3.0172E-05 1.0000E-06
2.4761E-05 1.0000E-06
1.7744E-05 1.0000E-06
7.7485E-06 1.0000E-06
7.0084E-06 1.0000E-06
6.7589E-06 1.0000E-06
5.8324E-06 1.0000E-06
6.8334E-06 1.0000E-06
4.9370E-06 1.0000E-06
3.5048E-06 1.0000E-06
3.3479E-06 1.0000E-06
5.6968E-06 1.0000E-06
2.7657E-06 1.0000E-06
3.0600E-06 1.0000E-06
1.8365E-06 1.0000E-06
2.1239E-06 1.0000E-06
2.1346E-06 1.0000E-06
3.0469E-06 1.0000E-06
1.8344E-06 1.0000E-06
1.8064E-06 1.0000E-06
2.1782E-06 1.0000E-06
2.1174E-07 1.0000E-06
1.8354E-06 1.0000E-06
3.0409E-07 1.0000E-06
0.0000E+00 1.0000E-06
