Energy     Target
7.8342E-05 1.0000E-06
6.8168E-05 1.0000E-06
6.3342E-05 1.0000E-06
1.5813E-05 1.0000E-06
5.8001E-05 1.0000E-06
2.9360E-05 1.0000E-06
2.0584E-05 1.0000E-06
3.9568E-05 1.0000E-06
3.3769E-05 1.0000E-06
1.6420E-05 1.0000E-06
6.0462E-06 1.0000E-06
9.1952E-06 1.0000E-06
7.4770E-06 1.0000E-06
2.0722E-05 1.0000E-06
1.6994E-05 1.0000E-06
1.0889E-05 1.0000E-06
2.5348E-05 1.0000E-06
3.2251E-05 1.0000E-06
3.0820E-06 1.0000E-06
3.4156E-06 1.0000E-06
3.4260E-06 1.0000E-06
2.4390E-08 1.0000E-06
3.9207E-06 1.0000E-06
8.3141E-07 1.0000E-06
0.0000E+00 1.0000E-06
