Energy     Target
4.2090E-03 6.6667E-07
2.0835E-02 6.6667E-07
2.2868E-03 6.6667E-07
2.3024E-03 6.6667E-07
1.3260E-03 6.6667E-07
9.4069E-04 6.6667E-07
3.2819E-04 6.6667E-07
2.7922E-04 6.6667E-07
1.6651E-04 6.6667E-07
2.0644E-04 6.6667E-07
9.8526E-05 6.6667E-07
1.4458E-04 6.6667E-07
1.9562E-04 6.6667E-07
1.2555E-04 6.6667E-07
1.4906E-04 6.6667E-07
7.6709E-05 6.6667E-07
8.9553E-05 6.6667E-07
4.1954E-05 6.6667E-07
1.5603E-04 6.6667E-07
4.4939E-05 6.6667E-07
5.0644E-05 6.6667E-07
7.3196E-05 6.6667E-07
1.1683E-05 6.6667E-07
9.8278E-05 6.6667E-07
2.3876E-05 6.6667E-07
4.6082E-05 6.6667E-07
2.7030E-05 6.6667E-07
4.0288E-05 6.6667E-07
1.5137E-05 6.6667E-07
1.2801E-05 6.6667E-07
1.4301E-05 6.6667E-07
1.6244E-05 6.6667E-07
2.0168E-05 6.6667E-07
1.2689E-05 6.6667E-07
1.3838E-05 6.6667E-07
1.4811E-05 6.6667E-07
1.0120E-05 6.6667E-07
7.8361E-06 6.6667E-07
1.1719E-05 6.6667E-07
9.4215E-06 6.6667E-07
1.0532E-05 6.6667E-07
5.6721E-06 6.6667E-07
8.5781E-06 6.6667E-07
8.1330E-06 6.6667E-07
9.0207E-06 6.6667E-07
6.4653E-06 6.6667E-07
7.6979E-06 6.6667E-07
5.6441E-06 6.6667E-07
5.2109E-06 6.6667E-07
8.1356E-06 6.6667E-07
8.3182E-06 6.6667E-07
6.1738E-06 6.6667E-07
5.2838E-06 6.6667E-07
4.6272E-06 6.6667E-07
6.7974E-06 6.6667E-07
1.8840E-06 6.6667E-07
5.9218E-06 6.6667E-07
1.4268E-07 6.6667E-07
2.5971E-06 6.6667E-07
5.0351E-06 6.6667E-07
3.0581E-06 6.6667E-07
4.9096E-06 6.6667E-07
2.3671E-06 6.6667E-07
1.9857E-06 6.6667E-07
3.5217E-06 6.6667E-07
4.3296E-06 6.6667E-07
2.1835E-06 6.6667E-07
2.6309E-06 6.6667E-07
1.5352E-06 6.6667E-07
1.7474E-06 6.6667E-07
3.5428E-06 6.6667E-07
3.0694E-06 6.6667E-07
1.9497E-06 6.6667E-07
1.6608E-06 6.6667E-07
4.1209E-07 6.6667E-07
3.6634E-06 6.6667E-07
3.1946E-06 6.6667E-07
2.2711E-06 6.6667E-07
1.6452E-06 6.6667E-07
5.5209E-07 6.6667E-07
1.6998E-06 6.6667E-07
2.5622E-06 6.6667E-07
1.4136E-06 6.6667E-07
1.3814E-06 6.6667E-07
1.6748E-06 6.6667E-07
6.6341E-07 6.6667E-07
1.5092E-06 6.6667E-07
1.4539E-06 6.6667E-07
1.5247E-06 6.6667E-07
9.8682E-07 6.6667E-07
5.9674E-07 6.6667E-07
