Energy     Target
8.6329E-05 1.0000E-06
7.2890E-05 1.0000E-06
1.5447E-04 1.0000E-06
1.1407E-04 1.0000E-06
1.1171E-04 1.0000E-06
6.9288E-05 1.0000E-06
4.7793E-05 1.0000E-06
2.9407E-05 1.0000E-06
2.3045E-05 1.0000E-06
1.7272E-05 1.0000E-06
2.2508E-05 1.0000E-06
2.1690E-05 1.0000E-06
1.8216E-05 1.0000E-06
1.2902E-05 1.0000E-06
1.2093E-05 1.0000E-06
1.2069E-05 1.0000E-06
1.0070E-05 1.0000E-06
3.5428E-06 1.0000E-06
3.8694E-06 1.0000E-06
8.1680E-07 1.0000E-06
5.2903E-06 1.0000E-06
8.9695E-07 1.0000E-06
0.0000E+00 1.0000E-06
