Energy     Target
1.8344E-02 6.6667E-07
1.6155E-01 6.6667E-07
2.5329E-01 6.6667E-07
2.2979E-01 6.6667E-07
1.6288E-01 6.6667E-07
1.1919E-01 6.6667E-07
9.2517E-02 6.6667E-07
7.6257E-02 6.6667E-07
6.6497E-02 6.6667E-07
6.0097E-02 6.6667E-07
5.5520E-02 6.6667E-07
5.3282E-02 6.6667E-07
5.0116E-02 6.6667E-07
4.7909E-02 6.6667E-07
4.6504E-02 6.6667E-07
4.3278E-02 6.6667E-07
4.2762E-02 6.6667E-07
4.0558E-02 6.6667E-07
3.9074E-02 6.6667E-07
3.7188E-02 6.6667E-07
3.5466E-02 6.6667E-07
3.4020E-02 6.6667E-07
3.2061E-02 6.6667E-07
3.0555E-02 6.6667E-07
2.9107E-02 6.6667E-07
2.7427E-02 6.6667E-07
2.5730E-02 6.6667E-07
2.4694E-02 6.6667E-07
2.3160E-02 6.6667E-07
2.1922E-02 6.6667E-07
2.0932E-02 6.6667E-07
1.9638E-02 6.6667E-07
1.8767E-02 6.6667E-07
1.7637E-02 6.6667E-07
1.6964E-02 6.6667E-07
1.5843E-02 6.6667E-07
1.5518E-02 6.6667E-07
1.4924E-02 6.6667E-07
1.4481E-02 6.6667E-07
1.4079E-02 6.6667E-07
1.3669E-02 6.6667E-07
1.3378E-02 6.6667E-07
1.3366E-02 6.6667E-07
1.3159E-02 6.6667E-07
1.3258E-02 6.6667E-07
1.3093E-02 6.6667E-07
1.3167E-02 6.6667E-07
1.2900E-02 6.6667E-07
1.3255E-02 6.6667E-07
1.2866E-02 6.6667E-07
1.3230E-02 6.6667E-07
1.2850E-02 6.6667E-07
1.2967E-02 6.6667E-07
1.2586E-02 6.6667E-07
1.2677E-02 6.6667E-07
1.2204E-02 6.6667E-07
1.2412E-02 6.6667E-07
1.1535E-02 6.6667E-07
1.2173E-02 6.6667E-07
1.0623E-02 6.6667E-07
1.1595E-02 6.6667E-07
1.0184E-02 6.6667E-07
1.1254E-02 6.6667E-07
1.0116E-02 6.6667E-07
1.0951E-02 6.6667E-07
9.9400E-03 6.6667E-07
1.0530E-02 6.6667E-07
9.8610E-03 6.6667E-07
1.0221E-02 6.6667E-07
9.8542E-03 6.6667E-07
1.0077E-02 6.6667E-07
9.8216E-03 6.6667E-07
9.8374E-03 6.6667E-07
9.6309E-03 6.6667E-07
9.5162E-03 6.6667E-07
9.2887E-03 6.6667E-07
9.0939E-03 6.6667E-07
